"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"10","215.5407072104912","115.23492763469537","4.804408024824011","-0.31122742580861","0.007080078125","0.00927734375","0.0048828125","1216","0.0002754142093084603","0","0.0002754142093084603","0.0002754142093084603","10_9:0.02054146938437934;10_11:0.005786350145878305","10_9:533.3333333333333;10_11:533.3333333333333","true"
"11","298.31660296391","73.177055696467","4.7433179307865965","-0.31179417408967897","0.0087890625","0.00830078125","0.00927734375","1216","0.00026961862307957535","0","0.00026961862307957535","0.00026961862307957535","11_12:0.004658307485695068","11_12:533.3333333333333","true"
"12","450.0665233501965","415.2061512542196","4.625974058877739","-0.31372359565205904","0.045654296875","0.037109375","0.05419921875","1216","0.00018996005091401937","0","0.00018996005091401937","0.00018996005091401937","12_13:0.00383573905016521","12_13:533.3333333333333","true"
"13","303.8508515014283","254.02434071774465","4.5569883282594414","-0.31377871528415735","0.047119140625","0.017578125","0.07666015625","1216","0.00013955310593837558","0","0.00013955310593837558","0.00013955310593837558","","","true"
"14","262.62408162006733","77.18917382515815","4.510060406425405","-0.3157712274724498","0.031494140625","0.04345703125","0.01953125","1216","0.0003246150827023535","0","0.0003246150827023535","0.0003246150827023535","14_0:0.007948808509885996;14_18:0.014473540934795637","14_0:533.3333333333333;14_18:533.3333333333333","true"
"15","473.318692112023","469.4880344970333","4.598993523650054","-0.32044986829453664","0.108642578125","0.06884765625","0.1484375","1216","0.00036705989994474707","0","0.00036705989994474707","0.00036705989994474707","","","true"
"16","216.33600320896278","50.3968340493895","4.937425324169292","-0.3088315131283205","0.049560546875","0.04833984375","0.05078125","1216","0.0005404640363011093","0","0.0005404640363011093","0.0005404640363011093","16_8:0.01280836910158778","16_8:533.3333333333333","true"
"17","367.8896742624222","18.737652324842994","4.7527829436594615","-0.31153154230934604","0.02685546875","0.01904296875","0.03466796875","1216","0.00023941105428063367","0","0.00023941105428063367","0.00023941105428063367","17_12:0.004333507327602459;17_30:0.008062442224190558","17_12:590.2222222222222;17_30:590.2222222222222","true"
"18","65.29011553729471","17.906338140916116","4.659295600174191","-0.2892599847835004","0.046630859375","0.025390625","0.06787109375","1216","0.0008074509953115442","0","0.0008074509953115442","0.0008074509953115442","18_19:0.02380694937520772","18_19:533.3333333333333","true"
"19","349.06738334397494","134.23654695542734","4.820668854564662","-0.31198328628677313","0.048583984375","0.01953125","0.07763671875","1216","0.00024091426777371223","0","0.00024091426777371223","0.00024091426777371223","19_20:0.005174292994030216","19_20:533.3333333333333","true"
"20","372.0421111609746","70.22622487319076","4.738270280599408","-0.3119696404967832","0.03955078125","0.04541015625","0.03369140625","1216","0.00020634456220706672","0","0.00020634456220706672","0.00020634456220706672","20_33:0.011726463125771802","20_33:533.3333333333333","true"
"21","177.0297793887593","26.463576446223186","4.773862218764894","-0.3114254225761893","0.021728515625","0.02001953125","0.0234375","1216","0.00027255725851943946","0","0.00027255725851943946","0.00027255725851943946","21_20:0.012529700186564519;21_22:0.008253759722847254","21_20:533.3333333333333;21_22:803.5555555555555","true"
"22","309.8315331152173","185.38618680712773","4.668435640577501","-0.31331663183442576","0.015869140625","0.01904296875","0.0126953125","1216","0.0001904083239634263","0","0.0001904083239634263","0.0001904083239634263","22_15:0.00623147801972046","22_15:590.2222222222222","true"
"23","406.4221355860279","83.52169774559812","4.758092619870676","-0.31173856129806604","0.017333984375","0.0107421875","0.02392578125","1216","0.0001766803843907046","0","0.0001766803843907046","0.0001766803843907046","23_22:0.004919584160235357;23_24:0.015004913824772093","23_22:533.3333333333333;23_24:533.3333333333333","true"
"24","348.3745980298573","41.118669997295946","4.611464135594288","-0.31354982608399573","0.023681640625","0.015625","0.03173828125","1216","0.0003676486092066739","0","0.0003676486092066739","0.0003676486092066739","","","true"
"25","128.22047376571152","192.11706634966387","4.731588223167435","-0.3122550841543125","0.02099609375","0.021484375","0.0205078125","1216","0.00023688412217585716","0","0.00023688412217585716","0.00023688412217585716","25_24:0.008959760859346688","25_24:533.3333333333333","true"
"26","301.8520203752621","104.49874276591866","4.777327890927225","-0.31228117808626144","0.006591796875","0.0107421875","0.00244140625","1216","0.0007204076807684535","0","0.0007204076807684535","0.0007204076807684535","26_16:0.013940402685099051;26_25:0.01631489535220998;26_27:0.01234699655215521","26_16:533.3333333333333;26_25:533.3333333333333;26_27:533.3333333333333","true"
"27","329.3450905493765","157.16925214547229","4.680352540000476","-0.31282791406798793","0.012451171875","0.0185546875","0.00634765625","1216","0.0002183323180888065","0","0.0002183323180888065","0.0002183323180888065","","","true"
"28","222.17743196100196","59.8879383220089","4.742980340616234","-0.27186381179166696","0.028564453125","0.03125","0.02587890625","1216","0.005526070977945394","0","0.005526070977945394","0.005526070977945394","28_27:0.02892452931487055","28_27:533.3333333333333","true"
"29","238.00389202635904","159.3257866698358","4.7917260256722995","-0.32426284330226407","0.008544921875","0.01025390625","0.0068359375","1216","0.00017089948621006314","0","0.00017089948621006314","0.00017089948621006314","29_28:0.04087785025990598;29_30:0.005714225807140316","29_28:533.3333333333333;29_30:533.3333333333333","true"
"30","219.59746733085348","159.80765265857397","4.692918956213792","-0.3126801438234927","0.01708984375","0.01953125","0.0146484375","1216","0.00046604462216576144","0","0.00046604462216576144","0.00046604462216576144","","","true"
"31","231.23125974878005","33.676505840280576","5.057535271202549","-0.3070059221402992","0.01220703125","0.01025390625","0.01416015625","1216","0.0006535334913868714","0","0.0006535334913868714","0.0006535334913868714","31_30:0.016247936206662372;31_32:0.01589663025064103","31_30:533.3333333333333;31_32:533.3333333333333","true"
"32","193.33625099072475","241.36352686305682","4.929965558789886","-0.30828223495463736","0.038330078125","0.0263671875","0.05029296875","1216","0.00037316186150908185","0","0.00037316186150908185","0.00037316186150908185","32_36:0.012285271837054412","32_36:533.3333333333333","true"
"33","370.70111948787417","316.1269336149683","4.677461681486635","-0.3137282279838826","0.01416015625","0.01123046875","0.01708984375","1216","0.00046289921687891203","0","0.00046289921687891203","0.00046289921687891203","33_39:0.013494049086862137","33_39:533.3333333333333","true"
"34","138.246876538237","78.71057892744656","4.710462025957955","-0.28769666514137593","0.124267578125","0.10498046875","0.1435546875","1216","0.001012184039381514","0","0.001012184039381514","0.001012184039381514","34_24:0.013251678311470505","34_24:533.3333333333333","true"
"35","198.39202299018075","57.55258487234765","4.9145252923416125","-0.30919638014483275","0.01123046875","0.01171875","0.0107421875","1216","0.00021350572954303892","0","0.00021350572954303892","0.00021350572954303892","35_28:0.03878285671014292;35_47:0.004532366881003169","35_28:533.3333333333333;35_47:533.3333333333333","true"
"36","258.6349925389297","70.30033802281669","4.853999944490702","-0.31028310857915326","0.01806640625","0.01123046875","0.02490234375","1216","0.0002036014111314615","0","0.0002036014111314615","0.0002036014111314615","36_51:0.004004079501585989","36_51:533.3333333333333","true"
"37","482.93269936237226","38.72245368582749","4.593826750950745","-0.315389846608389","0.0576171875","0.05615234375","0.05908203125","1216","0.0004174658639402334","0","0.0004174658639402334","0.0004174658639402334","37_38:0.012619802848529094","37_38:533.3333333333333","true"
"38","523.7172280727261","113.43235766792705","4.485832688643985","-0.31593779214327095","0.029052734375","0.02392578125","0.0341796875","1216","0.00028567989175141495","0","0.00028567989175141495","0.00028567989175141495","38_39:0.00785530379953775","38_39:533.3333333333333","true"
"39","476.0310530115705","116.58893420826774","4.574225139817634","-0.3140308325815774","0.0458984375","0.03369140625","0.05810546875","1216","0.0002584661872859548","0","0.0002584661872859548","0.0002584661872859548","","","true"
"40","295.4726205923277","232.7093643264","4.705507472545954","-0.31264268217270236","0.015380859375","0.00732421875","0.0234375","1216","0.00026488264961433046","0","0.00026488264961433046","0.00026488264961433046","40_39:0.006711058368502776","40_39:590.2222222222222","true"
"41","285.82632583561355","438.9750395743475","4.814564206675391","-0.3126369186509598","0.007080078125","0.0068359375","0.00732421875","1216","0.00023334045597650784","0","0.00023334045597650784","0.00023334045597650784","41_40:0.010415249584393826;41_53:0.005113412131858119","41_40:533.3333333333333;41_53:533.3333333333333","true"
"42","375.46578850620824","495.32861748499124","4.654678199157727","-0.3142873185900896","0.03125","0.03759765625","0.02490234375","1216","0.0002532611599419892","0","0.0002532611599419892","0.0002532611599419892","42_41:0.007105548161316699","42_41:533.3333333333333","true"
"43","197.94608013558462","134.34920402614958","4.755137078156646","-0.31327741535760273","0.016357421875","0.01611328125","0.0166015625","1216","0.00027071788301207895","0","0.00027071788301207895","0.00027071788301207895","43_34:0.015991180032923102;43_42:0.013515483755137392;43_44:0.007252078511792048","43_34:533.3333333333333;43_42:533.3333333333333;43_44:533.3333333333333","true"
"44","307.3470425570905","213.31808343039737","4.86810208667521","-0.3104963912007421","0.007568359375","0.00732421875","0.0078125","1216","0.000340054430073526","0","0.000340054430073526","0.000340054430073526","","","true"
"45","296.6110230183564","300.276728670828","4.7628473510307305","-0.3110511707571012","0.10400390625","0.201171875","0.0068359375","1216","0.00022615349295741413","0","0.00022615349295741413","0.00022615349295741413","45_46:0.008517532796636695;45_44:0.00746919875405927","45_46:533.3333333333333;45_44:533.3333333333333","true"
"46","471.55433366891464","66.47465512496215","4.674020964386639","-0.31335055063587447","0.01806640625","0.01220703125","0.02392578125","1216","0.00026103593785032015","0","0.00026103593785032015","0.00026103593785032015","","","true"
"47","379.42430648592983","203.51895363958806","4.795132713324669","-0.31225140541662605","0.0087890625","0.01220703125","0.00537109375","1216","0.00011267628181826766","0","0.00011267628181826766","0.00011267628181826766","47_48:0.004074190499301578;47_46:0.008202673526613469","47_48:533.3333333333333;47_46:533.3333333333333","true"
"48","383.4883397676476","378.3596184504397","4.707258314162427","-0.31164980062742437","0.026611328125","0.03662109375","0.0166015625","1216","0.0002497057944849761","0","0.0002497057944849761","0.0002497057944849761","","","true"
"49","279.95668131166866","210.45222608664724","4.810794362156081","-0.31113135217025384","0.01025390625","0.00927734375","0.01123046875","1216","0.00018415563345130365","0","0.00018415563345130365","0.00018415563345130365","49_48:0.004733072779206815;49_50:0.0045801100246049","49_48:533.3333333333333;49_50:590.2222222222222","true"
"50","259.1150752743155","201.7664912858137","4.879013190048183","-0.3096877134937021","0.009765625","0.01171875","0.0078125","1216","0.00018364760272213693","0","0.00018364760272213693","0.00018364760272213693","50_51:0.00747102194925553","50_51:341.3333333333333","true"
"51","445.3585416466687","505.1046487485962","4.767360599077379","-0.31093959212206534","0.012939453125","0.015625","0.01025390625","1216","0.00014949380896046567","0","0.00014949380896046567","0.00014949380896046567","","","true"
"52","106.24371349403596","17.644345028806917","4.854928897060163","-0.30959763676674124","0.084228515625","0.04248046875","0.1259765625","1216","0.0009722745010399652","0","0.0009722745010399652","0.0009722745010399652","52_37:0.025413716539952058","52_37:533.3333333333333","true"
